MCS Area Volume r h theta_rad theta_deg
431 2958 9841 30.6849 6.55415 0.420867 24.1139
432 2982 9846 30.8091 6.50687 0.416282 23.8512
433 2991 9838 30.8555 6.483 0.414192 23.7314
434 3000 9831 30.9019 6.4599 0.412155 23.6147
435 3009 9840 30.9483 6.44712 0.410764 23.535
436 2988 9841 30.8401 6.49116 0.4149 23.772
437 2976 9838 30.7781 6.51429 0.41715 23.901
438 2979 9850 30.7936 6.51572 0.417035 23.8944
439 2988 9852 30.8401 6.49821 0.415338 23.7971
440 3000 9858 30.9019 6.47715 0.413224 23.676
441 3012 9850 30.9637 6.44733 0.410578 23.5244
442 3012 9843 30.9637 6.44287 0.410302 23.5086
443 3006 9823 30.9328 6.44244 0.410673 23.5299
444 3006 9818 30.9328 6.43926 0.410476 23.5185
445 3021 9803 31.0099 6.39907 0.406999 23.3193
446 3003 9780 30.9174 6.42116 0.409553 23.4657
447 2997 9774 30.8865 6.42965 0.410478 23.5187
448 3024 9774 31.0253 6.37458 0.405288 23.2213
449 3015 9795 30.9791 6.4062 0.407833 23.3671
450 3021 9807 31.0099 6.40161 0.407156 23.3283
451 3027 9771 31.0407 6.36662 0.4046 23.1819
452 3039 9779 31.1022 6.34754 0.402644 23.0698
453 3039 9784 31.1022 6.3507 0.402839 23.081
454 3039 9773 31.1022 6.34375 0.40241 23.0564
455 3039 9767 31.1022 6.33996 0.402176 23.043
456 3039 9756 31.1022 6.33301 0.401747 23.0184
457 3018 9761 30.9945 6.37848 0.405921 23.2575
458 3030 9766 31.0561 6.3574 0.403835 23.1381
459 3039 9763 31.1022 6.33743 0.40202 23.0341
460 3045 9772 31.1328 6.33112 0.401245 22.9896
461 3045 9769 31.1328 6.32923 0.401128 22.983
462 3048 9789 31.1482 6.33585 0.401344 22.9953
463 3045 9796 31.1328 6.34625 0.402179 23.0431
464 3021 9827 31.0099 6.41431 0.407941 23.3733
465 3012 9826 30.9637 6.43205 0.409632 23.4702
466 3033 9836 31.0714 6.39566 0.406004 23.2623
467 3018 9817 30.9945 6.41407 0.408124 23.3838
468 3012 9809 30.9637 6.42123 0.408962 23.4318
469 3021 9812 31.0099 6.40479 0.407352 23.3396
470 3033 9812 31.0714 6.38048 0.405066 23.2086
471 3039 9816 31.1022 6.37091 0.404087 23.1525
472 3024 9805 31.0253 6.39425 0.406504 23.291
473 3042 9819 31.1175 6.36678 0.403638 23.1267
474 3042 9831 31.1175 6.37435 0.404105 23.1535
475 3045 9823 31.1328 6.36328 0.403229 23.1033
476 3057 9815 31.1941 6.33427 0.400672 22.9568
477 3063 9800 31.2247 6.31294 0.398977 22.8597
478 3051 9801 31.1635 6.33742 0.401249 22.9899
479 3075 9798 31.2858 6.28801 0.396687 22.7285
480 3093 9794 31.3773 6.25034 0.393252 22.5317
481 3090 9786 31.362 6.25119 0.39349 22.5453
482 3093 9778 31.3773 6.24039 0.392642 22.4967
483 3075 9793 31.2858 6.28489 0.396495 22.7175
484 3078 9774 31.3011 6.26713 0.395216 22.6442
485 3057 9766 31.1941 6.30347 0.398775 22.8481
